task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
monash_car_parts,0,39,12,2,0.6953117130833328,0.30468828691666716,0.7000000000000005,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,4,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,8,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,16,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,32,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,64,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_car_parts,0,39,12,128,0.7968744753888876,0.20312552461111244,0.7999999999999992,5,4,1,4,False,1024.0
monash_cif_2016,0,16,12,2,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,4,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,8,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,16,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,32,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,64,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_cif_2016,0,16,12,128,0.48148148148148145,0.5185185185185186,0.6666666666666665,3,2,1,2,False,144.0
monash_covid_deaths,0,182,30,2,0.29310897435897454,0.7068910256410255,0.30256410256410277,15,13,2,13,False,3328.0
monash_covid_deaths,0,182,30,4,0.481891025641025,0.5181089743589751,0.49743589743589667,15,13,2,13,False,3328.0
